Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Publication.Date,Total.Occupants,Fatal.Serious.Injuries,Fatal.Serious.Rate,Destroyed,Aircraft.Type
20001213X33697,Accident,SEA86FA121A,1986-05-19,"MEAD, WA",United States,,,,,Fatal(2),Destroyed,Airplane,N6161M,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,2.0,0.0,1.0,0.0,Vmc,Probable Cause,17-10-2016,3.0,2.0,0.6666666666666666,1,Cessna 152
20001213X33489,Incident,BFO86IA031B,1986-05-30,"CALVERTON, NY",United States,,,,,Incident,Unknown,Airplane,USN,Grumman,F-14A,No,2.0,Turbo Jet,Part 91: General Aviation,Public Aircraft,0.0,0.0,0.0,69.0,Vmc,Probable Cause,09-10-2018,69.0,0.0,0.0,0,Grumman F-14A
20001213X30060,Accident,DCA87MA018B,1987-01-15,"KEARNS, UT",United States,,,,,Fatal(10),Destroyed,Airplane,N6485U,Mooney,M-20C,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,10.0,0.0,0.0,0.0,Vmc,Probable Cause,10-07-2019,10.0,10.0,1.0,1,Mooney M-20C
20001213X30244,Accident,FTW87RA066,1987-02-14,"DURANGO, Mexico",Mexico,,,,,Fatal(1),Unknown,Airplane,N712PC,Boeing,707-323B,No,4.0,Turbo Jet,Part 121: Air Carrier,Unknown,1.0,0.0,3.0,131.0,Unk,Foreign,07-02-1995,135.0,1.0,0.007407407407407408,0,Boeing 707-323B
20001213X30820,Accident,SEA87LA072,1987-04-02,"JEAN, NV",United States,,,OL7,JEAN,Non-Fatal,Substantial,Airplane,N5916H,Piper,PA 16,No,,,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,Vmc,Probable Cause,10-04-2014,1.0,0.0,0.0,0,Piper PA 16
20001213X25245,Accident,DCA88WA048,1988-03-27,"OXFORD, United Kingdom",United Kingdom,,,,,Fatal(1),Destroyed,Airplane,N91590,Piper,PA-38,No,0.0,Unknown,"Non-U.S., Non-Commercial",Instructional,1.0,0.0,0.0,0.0,Unk,Foreign,,1.0,1.0,1.0,1,Piper PA-38
20001213X25425,Accident,CHI88FA091,1988-04-05,"ST. PAUL, MN",United States,,,,,Non-Fatal,Substantial,Airplane,N181LL,Beech,B90,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,0.0,0.0,0.0,5.0,Imc,Probable Cause,02-05-2011,5.0,0.0,0.0,0,Beech B90
20001213X25535,Accident,MIA88WA161,1988-04-16,"San Jose, Costa Rica",Costa Rica,,,,,Non-Fatal,Unknown,Airplane,N510EA,Boeing,757-225,No,2.0,Unknown,Part 121: Air Carrier,,0.0,1.0,0.0,192.0,Unk,Foreign,06-02-1995,193.0,1.0,0.0051813471502590676,0,Boeing 757-225
20001213X25661,Incident,DCA88IA056,1988-05-02,"NR TOKYO, Japan",Japan,,,NRT,TOKYO-NARITA,Incident,Minor,Airplane,N157UA,Boeing,747-123,No,4.0,Turbo Fan,Part 121: Air Carrier,Unknown,0.0,0.0,0.0,258.0,Vmc,Probable Cause,02-02-2016,258.0,0.0,0.0,0,Boeing 747-123
20001213X26456,Accident,BFO88LA070,1988-08-01,"SELBYVILLE, DE",United States,,,ON7,WARRINGTON,Non-Fatal,Substantial,Airplane,N5682G,Cessna,150K,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,0.0,0.0,0.0,1.0,Vmc,Probable Cause,02-06-2009,1.0,0.0,0.0,0,Cessna 150K
20001213X26459,Accident,BFO88LA073,1988-08-07,"RACINE, WV",United States,,,CRW,YEAGER,Non-Fatal,Substantial,Airplane,N4873T,Piper,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,Ferry,0.0,0.0,1.0,0.0,Vmc,Probable Cause,02-05-2011,1.0,0.0,0.0,0,Piper PA-28-180
20001213X27446,Accident,LAX89LA068,1988-12-23,"Midway Islands, PO",United States,38.54,-173.24,NONE,,Non-Fatal,Unknown,Airplane,N146UA,Boeing,747SP-21,No,4.0,Turbo Fan,Part 121: Air Carrier,Unknown,0.0,1.0,1.0,220.0,Unk,Probable Cause,02-02-2016,222.0,1.0,0.0045045045045045045,0,Boeing 747SP-21
20001213X27392,Accident,CHI89FA035,1988-12-24,"MADISON, IN",United States,,,,,Fatal(2),Destroyed,Airplane,N5121J,Cessna,310R,No,2.0,Reciprocating,Part 91: General Aviation,Positioning,2.0,0.0,0.0,0.0,Vmc,Probable Cause,04-09-2012,2.0,2.0,1.0,1,Cessna 310R
20001213X28167,Accident,MKC89FA099,1989-04-27,"AINSWORTH, NE",United States,,,ANW,,Fatal(3),Destroyed,Airplane,N20BS,Maule,M-5,No,1.0,Reciprocating,Part 91: General Aviation,Other Work Use,3.0,0.0,0.0,0.0,Imc,Probable Cause,17-08-2012,3.0,3.0,1.0,1,Maule M-5
20001213X28620,Accident,MIA89LA175,1989-06-15,"MIRAMAR, FL",United States,,,HWO,,Non-Fatal,Substantial,Airplane,N732AG,Cessna,210L,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,3.0,0.0,Vmc,Probable Cause,15-11-2010,3.0,0.0,0.0,0,Cessna 210L
20001213X28927,Accident,MKC89LA151,1989-07-03,"MORRILTON, AR",United States,,,MPJ,PETIT JEAN,Non-Fatal,Substantial,Airplane,N1414N,Piper,"J3 ""CUB""",No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,1.0,0.0,Vmc,Probable Cause,02-05-2011,1.0,0.0,0.0,0,"Piper J3 ""CUB"""
20001213X28948,Accident,NYC89FA177B,1989-07-30,"SALISBURY TWP, PA",United States,,,1N9,ALLENTOWN QUEEN CITY,Fatal(7),Destroyed,Airplane,N2639G,Cessna,182B,No,1.0,Reciprocating,Part 91: General Aviation,Other Work Use,7.0,0.0,0.0,0.0,Vmc,Probable Cause,17-10-2016,7.0,7.0,1.0,1,Cessna 182B
20001213X28948,Accident,NYC89FA177A,1989-07-30,"SALISBURY TWP, PA",United States,,,1N9,ALLENTOWN QUEEN CITY,Fatal(7),Destroyed,Airplane,N2063V,Beech,A36,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,7.0,0.0,0.0,0.0,Vmc,Probable Cause,17-10-2016,7.0,7.0,1.0,1,Beech A36
20001213X28746,Accident,BFO89LA066,1989-07-30,"WILLIAMSBURG, VA",United States,,,JGG,WILLIAMSBURG,Non-Fatal,Substantial,Airplane,N4022R,Piper,PA-32-300,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,4.0,Vmc,Probable Cause,24-04-2013,4.0,0.0,0.0,0,Piper PA-32-300
20001213X29904,Accident,ATL90FA040A,1989-12-17,"CINCINNATI, OH",United States,,,LUK,LUNKEN FIELD,Fatal(1),Substantial,Airplane,N8940T,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,1.0,0.0,1.0,1.0,Vmc,Probable Cause,11-12-2012,3.0,1.0,0.3333333333333333,0,Cessna 182
20001212X22492,Accident,NYC90LA058,1990-01-28,"ROXBURY, ME",United States,,,,,Non-Fatal,Destroyed,Airplane,N44068,Taylorcraft,BC12D,No,1.0,Unknown,Part 91: General Aviation,Personal,0.0,0.0,0.0,2.0,Vmc,Probable Cause,01-02-2016,2.0,0.0,0.0,1,Taylorcraft BC12D
20001212X22480,Accident,NYC90FA061,1990-01-29,"WILLISTON, VT",United States,,,BTV,BURLINGTON,Fatal(2),Destroyed,Airplane,N4688B,Cessna,208B,No,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,2.0,0.0,0.0,0.0,Imc,Probable Cause,01-02-2016,2.0,2.0,1.0,1,Cessna 208B
20001212X22619,Accident,NYC90FA063,1990-02-01,"FAIRFIELD, CT",United States,,,,,Fatal(1),Destroyed,Airplane,N83253,Piper,PA-28-181,No,1.0,Reciprocating,Part 91: General Aviation,Personal,1.0,0.0,0.0,0.0,Vmc,Probable Cause,01-02-2016,1.0,1.0,1.0,1,Piper PA-28-181
20001212X22649,Accident,ANC90LA043,1990-03-16,"SULATNA CROSS, AK",United States,,,,,Non-Fatal,Substantial,Airplane,N4659C,Cessna,170B,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,2.0,Vmc,Probable Cause,01-07-2009,2.0,0.0,0.0,0,Cessna 170B
20001212X22846,Accident,ATL90FA095B,1990-04-09,"GADSDEN, AL",United States,,,,,Fatal(2),Destroyed,Airplane,N99501,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,2.0,0.0,0.0,7.0,Vmc,Probable Cause,17-11-2009,9.0,2.0,0.2222222222222222,1,Cessna 172
20001212X22846,Accident,ATL90FA095A,1990-04-09,"GADSDEN, AL",United States,,,,,Fatal(2),Substantial,Airplane,N217AS,Embraer,EMB-120,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,2.0,0.0,0.0,7.0,Vmc,Probable Cause,17-11-2009,9.0,2.0,0.2222222222222222,0,Embraer EMB-120
20001212X22966,Accident,MIA90FA105,1990-04-16,"FORT LAUDERDALE, FL",United States,,,FLL,FT LAUDERDALE,Non-Fatal,Substantial,Airplane,N64CZ,Embraer,EMB-110,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,0.0,0.0,0.0,8.0,Vmc,Probable Cause,17-11-2009,8.0,0.0,0.0,0,Embraer EMB-110
20001212X22992,Accident,MKC90LA087,1990-04-17,"SALINA, KS",United States,,,SLN,SALINA,Non-Fatal,Substantial,Airplane,N714EB,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,Vmc,Probable Cause,02-05-2011,2.0,0.0,0.0,0,Cessna 150
20001212X22890,Accident,DCA90WA430,1990-04-30,"MOOSONEE, Canada",Canada,,,,MOOSONEE APT.,Fatal(1),Destroyed,Airplane,,Beech,C99 AIRLINER,No,2.0,Unknown,Part 129: Foreign,Unknown,1.0,3.0,0.0,0.0,Unk,Foreign,02-06-1998,4.0,4.0,1.0,1,Beech C99 AIRLINER
20001212X23574,Accident,ANC90LA112,1990-07-05,"COLDFOOT, AK",United States,,,NONE,COLDFOOT STRIP,Fatal(1),Destroyed,Airplane,N6374J,Piper,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,Business,1.0,1.0,0.0,0.0,Vmc,Probable Cause,19-03-2009,2.0,2.0,1.0,1,Piper PA-28-180
20001212X23773,Accident,MKC90LA146,1990-07-12,"WICHITA, KS",United States,,,,,Non-Fatal,Substantial,Airplane,N7295F,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,2.0,0.0,Vmc,Probable Cause,02-05-2011,2.0,0.0,0.0,0,Piper PA-28-140
20001212X23667,Accident,DCA90WA049,1990-07-27,"BHARU, Malaysia",Malaysia,,,,,Non-Fatal,Unknown,Airplane,N108WA,Mcdonnell Douglas,DC-10-30,No,0.0,Unknown,Part 121: Air Carrier,Unknown,0.0,1.0,3.0,3.0,Unk,Foreign,07-02-1995,7.0,1.0,0.14285714285714285,0,Mcdonnell Douglas DC-10-30
20001212X24345,Accident,NYC90FA220,1990-09-14,"PLAIN CITY, OH",United States,,,,,Fatal(2),Destroyed,Airplane,N95644,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Personal,2.0,0.0,0.0,0.0,Imc,Probable Cause,01-02-2016,2.0,2.0,1.0,1,Cessna 152
20001212X24349,Accident,NYC90FA227,1990-09-23,"ELIOT, ME",United States,,,3B4,LITTLEBROOK,Fatal(4),Destroyed,Airplane,N8664P,Piper,PA-24-260,No,1.0,Reciprocating,Part 91: General Aviation,Personal,4.0,0.0,0.0,0.0,Vmc,Probable Cause,01-02-2016,4.0,4.0,1.0,1,Piper PA-24-260
20001212X24393,Accident,ANC91LA002,1990-10-06,"KOYUKTOLIK, AK",United States,,,NONE,KOYUKTOLIK BAY,Non-Fatal,Substantial,Airplane,N2525Z,Cessna,185B,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,0.0,0.0,0.0,1.0,Vmc,Probable Cause,23-09-2019,1.0,0.0,0.0,0,Cessna 185B
20001212X24604,Accident,DEN91LA018,1990-11-07,"ABILENE, TX",United States,,,NONE,,Non-Fatal,Substantial,Airplane,N6078Y,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,3.0,Imc,Probable Cause,02-05-2011,3.0,0.0,0.0,0,Piper PA-23-250
20001212X24613,Accident,FTW91FA017,1990-11-23,"ENGLAND, AR",United States,,,,,Fatal(1),Destroyed,Airplane,N811J,Beech,B55,No,2.0,Reciprocating,Part 91: General Aviation,Personal,1.0,0.0,0.0,0.0,Vmc,Probable Cause,22-03-2011,1.0,1.0,1.0,1,Beech B55
20001212X24824,Accident,SEA91LA034,1990-12-15,"SNOHOMISH, WA",United States,,,NONE,,Fatal(1),Substantial,Airplane,N833Q,Beech,D50C,No,2.0,Reciprocating,Part 91: General Aviation,Skydiving,1.0,0.0,1.0,4.0,Vmc,Probable Cause,17-10-2016,6.0,1.0,0.16666666666666666,0,Beech D50C
20001212X24816,Accident,SEA91FA038,1990-12-31,"ESTACADA, OR",United States,,,OR66,BEAVER OAKS,Fatal(2),Substantial,Airplane,N7288E,Cessna,182B,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,2.0,1.0,1.0,0.0,Vmc,Probable Cause,26-10-2016,4.0,3.0,0.75,0,Cessna 182B
20001212X16387,Accident,SEA91TA03,1991-01-25,"PINEDALE, WY",United States,,,,,Non-Fatal,Substantial,Airplane,N8372Z,Piper,PA-34,No,0.0,Unknown,Public Aircraft,Public Aircraft,0.0,0.0,0.0,1.0,Unk,Probable Cause,31-01-2018,1.0,0.0,0.0,0,Piper PA-34
20001212X16418,Accident,CHI91FA088B,1991-02-03,"OSCEOLA, WI",United States,,,OEO,L.O.SIMENSTAD MUNI,Fatal(7),Destroyed,Airplane,N6384A,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,7.0,0.0,0.0,0.0,Vmc,Probable Cause,17-10-2016,7.0,7.0,1.0,1,Cessna 182
